numCompra,anoCompra,uasg,iniVigencia,fimVigencia,numItem,descBreve,descDetalhada,unFornecimento,fornecedor,marca,valor,qtdUnidade
0072,2023,158127,27/09/2024,27/09/2025,3,414007 - Placa controladora,"Placa Controladora Padrão Interface: Arduino Mega 2560 , Material: Plástico Disposto Base Metal Ou Madeira , Tecnologia: Sistema Embarcado Programável",Unidade,34.238.351/0001-57 - P & F IMPORTACAO E EXPORTACAO LTDA,ARDUÍNO MEGA 2560,"97,0000",5
0072,2023,158127,27/09/2024,27/09/2025,4,414656 - Placa controladora,"Placa Controladora Padrão Interface: Arduino Duemilanove , Conectores: 14 Pinos I/0 Digitais E 6 Pinos Analógicos , Componentes: Fonte Alimentação Externa E Conexão Usb , Processador: Atmega 328",Unidade,39.678.810/0001-37 - TI COMPONENTES ELETRONICOS LTDA,ARDUINO UNO COM ATME,"33,5000",5
0072,2023,158127,27/09/2024,27/09/2025,5,354069 - Autotransformador,"Autotransformador Potência Nominal: 3000 VA, Tensão Nominal: 220/110",Unidade,47.304.790/0001-62 - WIDE COMERCIAL LTDA,3000VA,"165,0000",10
0072,2023,158127,27/09/2024,27/09/2025,7,435132 - Bateria não recarregável,"Bateria Não Recarregável Características Adicionais: Não Contém Mercúrio E Cádmio , Sistema Eletroquímico: Alcalina , Tensão Nominal: 9",Unidade,45.291.154/0001-18 - A2 ROBOTICS COMERCIO IMPORTACAO E EXPORTACAO LTDA,38022407828,"7,2900",10
0072,2023,158127,27/09/2024,27/09/2025,8,236095 - Bateria - computador,"Bateria - Computador Tipo: Lithium , Tensão Alimentação: 3v , Aplicação: Para Setup (Bios)",Unidade,42.810.782/0001-74 - MAX QUALITY COMERCIO LTDA,LITHIUM,"5,9000",50
0072,2023,158127,27/09/2024,27/09/2025,9,313931 - Bateria Não Recarregável,"Bateria Não Recarregável Tipo: Lithium , Voltagem: 3 V, Aplicação: Máquina Fotográfica , Características Adicionais: Modelo Cr2032","Embalagem 5,00 UN",45.291.154/0001-18 - A2 ROBOTICS COMERCIO IMPORTACAO E EXPORTACAO LTDA,38022407828,"4,1900",110
0072,2023,158127,27/09/2024,27/09/2025,11,352942 - Bateria recarregável,"Bateria Recarregável Aplicação: Microfone Sem Fio , Sistema Eletroquímico: Alcalina , Tensão: 9",Unidade,45.291.154/0001-18 - A2 ROBOTICS COMERCIO IMPORTACAO E EXPORTACAO LTDA,BATERIA RECARREGAVEL,"21,8500",10
0072,2023,158127,27/09/2024,27/09/2025,12,269824 - Bateria recarregável,"Bateria Recarregável Tipo: Alcalina , Tamanho: Pequena , Modelo: Aa , Aplicação: Telefone Sem Fio , Tensão: 2,4",Unidade,39.678.810/0001-37 - TI COMPONENTES ELETRONICOS LTDA,TS Intelbras NI-MH 6,"26,1800",30
0072,2023,158127,27/09/2024,27/09/2025,23,260521 - Carregador bateria,"Carregador Bateria Tipo: Portátil , Velocidade Carga: Rápida , Tensão Alimentação: 110 / 220 V, Capacidade: 4 Pilhas E 2 Baterias , Características Adicionais: Função Auto Descarga",Unidade,45.291.154/0001-18 - A2 ROBOTICS COMERCIO IMPORTACAO E EXPORTACAO LTDA,carregador de bateri,"27,4800",5
0072,2023,158127,27/09/2024,27/09/2025,49,395961 - Detector ausencia tensão,"Detector Ausencia Tensão Tipo: Por Contato , Uso: Em Vara De Manobra , Faixa Tensão: 1 A 50 KV, Aplicação: Medição Rede De Média Tensão",Unidade,42.810.782/0001-74 - MAX QUALITY COMERCIO LTDA,OEM,"39,0000",2
0072,2023,158127,27/09/2024,27/09/2025,50,257568 - Diodo retificador,"Diodo Retificador Material: Plástico , Tipo: 1n 4007 , Tensão: Vdc 1000 V, Potência: 02 W, Aplicação: Retificação De Sinal",Unidade,45.291.154/0001-18 - A2 ROBOTICS COMERCIO IMPORTACAO E EXPORTACAO LTDA,1N 4007 100 PEÇAS,"7,4500",2
0072,2023,158127,27/09/2024,27/09/2025,58,226937 - Fita isolante elétrica,"Fita Isolante Elétrica Material Básico: Pvc Auto-Extinguível , Resistência À Tensão: Até 750 V, Cor: Preta , Classe Temperatura: 90 °C, Comprimento: 20 M, Largura: 19 MM, Espessura: 0,15 MM, Normas Técnicas: Não Aplicável , Características Adicionais: Não Aplicável",Unidade,30.247.600/0001-10 - J2R AUTOMACAO LTDA LTDA,F. I. 20M,"4,0000",20
0072,2023,158127,27/09/2024,27/09/2025,72,330313 - Tubo isolante,"Tubo Isolante Tipo: Espaguete Termo-Retrátil , Cor: Preta",Metro,39.678.810/0001-37 - TI COMPONENTES ELETRONICOS LTDA,Isolante elétrico ti,"1,7000",25
0072,2023,158127,27/09/2024,27/09/2025,73,472575 - Tubo Isolante,"Tubo Isolante Tipo: Espaguete Termo-Retrátil , Espessura: 0,4 MM, Aplicação: Eletrônica , Diâmetro Nominal: 1,5 M",Metro,39.678.810/0001-37 - TI COMPONENTES ELETRONICOS LTDA,Isolante elétrico ti,"0,7800",25
0072,2023,158127,27/09/2024,27/09/2025,74,369940 - Tubo isolante,"Tubo Isolante Tipo: Espaguete Termo-Retrátil , Diâmetro: 3 MM, Cor: Preta , Espessura: 0,4 MM, Material Isolante Básico: Pvc",Metro,39.678.810/0001-37 - TI COMPONENTES ELETRONICOS LTDA,"""Isolante elétrico t","1,1500",25
0072,2023,158127,27/09/2024,27/09/2025,76,399543 - Dispositivo optico - eletronico,"Dispositivo Optico - Eletronico Tipo: Emissor E Receptor , Formato: Retangular , Tamanho: 20x32x12 MM, Luz: Vermelha , Distância A Sensora: 6000 MM, Variável De Medida: Posição , Cor Led Indicador De Função: Amarelo , Tipo Saída: Pnp , Tipo Conexão: 4 Fios , Comprimento Cabo: 1,5 M, Tensão Alimentação: 24 VCC, Ajuste Do Ponteo De Comutação: Potenciômetro , Aplicação: Práticas Eletrônicas , Número De Sensores: 2 , Característica: Kit Sensores Óptico Barreira",Unidade,39.678.810/0001-37 - TI COMPONENTES ELETRONICOS LTDA,KIT LED LEDS ALTO BR,"16,4000",1
0072,2023,158127,27/09/2024,27/09/2025,77,310735 - Sensor,"Sensor Tipo: K , Tipo Sensor: Termopar , Material Bainha: Liga Níquel, Cromo E Alumínio , Comprimento Bainha: 1500 MM, Diâmetro Bainha Exterior: 3 MM, Tipo Isolação: Mineral Em Inconel , Características Adicionais: Faixa Temperatura 0-12000°C, Faixa Erro Aproximada",Unidade,45.291.154/0001-18 - A2 ROBOTICS COMERCIO IMPORTACAO E EXPORTACAO LTDA,TERMOPAR + MAX 6675,"40,4700",2
0072,2023,158127,27/09/2024,27/09/2025,81,323224 - Protoboard,"Protoboard Material Corpo: Polímero Abs , Material Contato: Liga Prata E Níquel , Número Furos: 2.420 , Dimensões: 0,30 A 0,80 M",Unidade,39.678.810/0001-37 - TI COMPONENTES ELETRONICOS LTDA,Matriz de Contatos o,"79,9000",10
0072,2023,158127,27/09/2024,27/09/2025,84,439760 - Módulo eletrônico,"Módulo Eletrônico Tipo: Módulo Bluetooth Rs232 Hc-05 , Modelo: Versão: V2.0 + Edr , Uso: Comunicação S/Fio Entre Dispositivos Móveis , Frequência: 2,4 GHZ, Tensão Operação: 3,3 V, Componentes: Firmware: Linvor 1.8 , Protocolo: 9600,8,1,N",Unidade,45.291.154/0001-18 - A2 ROBOTICS COMERCIO IMPORTACAO E EXPORTACAO LTDA,HC-05,"25,6900",5
0072,2023,158127,27/09/2024,27/09/2025,85,440906 - Módulo eletrônico,"Módulo Eletrônico Tipo: Ativo, Som Contínuo , Modelo: Buzzer , Aplicação: Eletrônica , Tensão Alimentação: 5 V, Componentes: 2 Terminais",Unidade,45.291.154/0001-18 - A2 ROBOTICS COMERCIO IMPORTACAO E EXPORTACAO LTDA,MOD BUZZER ATIVO P15,"8,9500",10
0072,2023,158127,27/09/2024,27/09/2025,86,479912 - Peça / acessório - impressora / copiadora,"Peça / Acessório - Impressora / Copiadora Tipo: Módulo Eletrônico , Características Adicionais: Can I/0 Modelo E82zafcc210 , Referência 2: 9020200130 , Aplicação 1: Impressora Offset Plana",Unidade,45.291.154/0001-18 - A2 ROBOTICS COMERCIO IMPORTACAO E EXPORTACAO LTDA,MOD CNC SHIELD V3,"11,4500",5
0072,2023,158127,27/09/2024,27/09/2025,87,343858 - Módulo eletrônico,"Módulo Eletrônico Tipo: Saída Relés , Modelo: 16 Saídas 2g8xn.O.Relays Out , Referência Fabricante: Df28 (Smar) , Aplicação: Rede Fieldbus Dfi302",Unidade,45.291.154/0001-18 - A2 ROBOTICS COMERCIO IMPORTACAO E EXPORTACAO LTDA,MOD SENSOR TENSÃO DC,"4,2500",5
0072,2023,158127,27/09/2024,27/09/2025,88,440909 - Módulo eletrônico,"Módulo Eletrônico Tipo: Serial I2c Para Display Lcd , Modelo: Display  Lcd , Aplicação: Eletrônica , Tensão Alimentação: 5 V, Componentes: Trimpot  De Ajuste De Contraste",Unidade,45.291.154/0001-18 - A2 ROBOTICS COMERCIO IMPORTACAO E EXPORTACAO LTDA,MOD DISPLAY 7 SEGMEN,"10,4500",5
0072,2023,158127,27/09/2024,27/09/2025,89,440909 - Módulo eletrônico,"Módulo Eletrônico Tipo: Serial I2c Para Display Lcd , Modelo: Display  Lcd , Aplicação: Eletrônica , Tensão Alimentação: 5 V, Componentes: Trimpot  De Ajuste De Contraste",Unidade,45.291.154/0001-18 - A2 ROBOTICS COMERCIO IMPORTACAO E EXPORTACAO LTDA,LCD KEYPAD 16X2,"15,6900",5
0072,2023,158127,27/09/2024,27/09/2025,90,442548 - Módulo eletrônico,"Módulo Eletrônico Modelo: Wifi Esp8266 Nodemcu Esp-12 , Uso: Arduíno E Robotica , Características Adicionais: Conector Micro-Usb, 11 Portas Gpio, Tensao De Oper , Componentes: Conversor Analogo Digital, Wireless Padrao 802.11",Unidade,45.291.154/0001-18 - A2 ROBOTICS COMERCIO IMPORTACAO E EXPORTACAO LTDA,MODULO DRIVE PONTE H,"9,5100",5
0072,2023,158127,27/09/2024,27/09/2025,91,608983 - Módulo eletrônico,"Módulo Eletrônico Tipo 1: Driver De Controle De Motor , Modelo 1: Tdm556 , Aplicação: Motor De Passo , Faixa Corrente: 1,4 A 5,6 A, Tensão Alimentação: 20 / 50 V, Características Adicionais: Alta Divisões De Micropassos , Compatibilidade: Sinal De Entrada Ttl",Unidade,45.291.154/0001-18 - A2 ROBOTICS COMERCIO IMPORTACAO E EXPORTACAO LTDA,DRIVER MOTOR DE PASS,"9,2100",50
0072,2023,158127,27/09/2024,27/09/2025,92,442548 - Módulo eletrônico,"Módulo Eletrônico Modelo: Wifi Esp8266 Nodemcu Esp-12 , Uso: Arduíno E Robotica , Características Adicionais: Conector Micro-Usb, 11 Portas Gpio, Tensao De Oper , Componentes: Conversor Analogo Digital, Wireless Padrao 802.11",Unidade,45.291.154/0001-18 - A2 ROBOTICS COMERCIO IMPORTACAO E EXPORTACAO LTDA,ESP8266 ESP-01,"10,8500",29
0072,2023,158127,27/09/2024,27/09/2025,93,442548 - Módulo eletrônico,"Módulo Eletrônico Modelo: Wifi Esp8266 Nodemcu Esp-12 , Uso: Arduíno E Robotica , Características Adicionais: Conector Micro-Usb, 11 Portas Gpio, Tensao De Oper , Componentes: Conversor Analogo Digital, Wireless Padrao 802.11",Unidade,45.291.154/0001-18 - A2 ROBOTICS COMERCIO IMPORTACAO E EXPORTACAO LTDA,ESP8266 NODEMCU ESP-,"19,4500",19
0072,2023,158127,27/09/2024,27/09/2025,94,432113 - Módulo eletrônico,"Módulo Eletrônico Modelo: Albatross Master , Uso: Enviar Comando Para Módulos Escravos , Aplicação: Placa Shield Interface Arduino , Características Adicionais: Armazenar Enviar Comandos Via Albatross Cabo Ir , Tipo Controle: Infravermelho",Unidade,45.291.154/0001-18 - A2 ROBOTICS COMERCIO IMPORTACAO E EXPORTACAO LTDA,MOD RECEPTOR INFRAVE,"4,9500",45
0072,2023,158127,27/09/2024,27/09/2025,95,343858 - Módulo eletrônico,"Módulo Eletrônico Tipo: Saída Relés , Modelo: 16 Saídas 2g8xn.O.Relays Out , Referência Fabricante: Df28 (Smar) , Aplicação: Rede Fieldbus Dfi302",Unidade,45.291.154/0001-18 - A2 ROBOTICS COMERCIO IMPORTACAO E EXPORTACAO LTDA,MOD RELÉ 5V 10A 1 CA,"4,2500",45
0072,2023,158127,27/09/2024,27/09/2025,96,343858 - Módulo eletrônico,"Módulo Eletrônico Tipo: Saída Relés , Modelo: 16 Saídas 2g8xn.O.Relays Out , Referência Fabricante: Df28 (Smar) , Aplicação: Rede Fieldbus Dfi302",Unidade,39.678.810/0001-37 - TI COMPONENTES ELETRONICOS LTDA,MÓDULO RELÉ 5V 10A 2,"9,2000",15
0072,2023,158127,27/09/2024,27/09/2025,97,414878 - Módulo de entrada de sinal,"Módulo De Entrada De Sinal Tipo: 4 Entradas Analógicas , Aplicação: Sistema Aquisição De Dados , Características Adicionais: Sensores ""Strain Gauges"" , Resolução: 24 Bits , Taxa Amostragem: 50 Ks/S Por Canal",Unidade,45.291.154/0001-18 - A2 ROBOTICS COMERCIO IMPORTACAO E EXPORTACAO LTDA,MOD ACS712 30A,"9,4500",17
0072,2023,158127,27/09/2024,27/09/2025,98,343858 - Módulo eletrônico,"Módulo Eletrônico Tipo: Saída Relés , Modelo: 16 Saídas 2g8xn.O.Relays Out , Referência Fabricante: Df28 (Smar) , Aplicação: Rede Fieldbus Dfi302",Unidade,39.678.810/0001-37 - TI COMPONENTES ELETRONICOS LTDA,MÓDULO SENSOR DE EFE,"4,1000",15
