numCompra,anoCompra,uasg,iniVigencia,fimVigencia,numItem,descBreve,descDetalhada,unFornecimento,fornecedor,marca,valor,qtdUnidade
90011,2024,158127,30/04/2025,30/04/2026,1,341329 - Alicate amperímetro,"Alicate Amperímetro Material: Plástico , Tipo: Digital , Corrente: 1000a Ac/ 1000a Dc A, Voltagem: 1000v Dc/700v Ac , Alimentação: 3 Pilhas Aaa De 1,5v , Voltagem Bateria: 4,5 V, Resistência: 40 MOHM, Aplicação: Eletricidade , Características Adicionais: True Rms, Memória, Freqüência 100 Khz, Freqüência",Unidade,14.086.420/0001-47 - JPS CIENTIFICA E INFORMATICA LTDA,HA-3120,"289,0000",15
90011,2024,158127,30/04/2025,30/04/2026,3,259000 - Medidor demanda eletricidade,"Medidor Demanda Eletricidade Tipo: Digital , Tipo Display: Gráfico Iluminado , Tipo Medição: Tempo Real Em Sistemas Elétricos Mono-Bi-Trifasi- , Tipo Uso: Registrador Grandezas Elétricas , Aplicação: Monitoramento Qualidade Energia Elétrica, Diagnós- , Características Adicionais: Transferência De Dados Entre Analisador/Pc Serial",Unidade,62.723.838/0001-60 - POLITERM INSTRUMENTOS DE MEDICAO LTDA.,3600N - CÓDIGO POL-0,"12.000,0000",1
90011,2024,158127,30/04/2025,30/04/2026,11,483848 - Balança eletrônica,"Balança Eletrônica Capacidade Pesagem: 200 KG, Voltagem: 110/220 V, Tipo: Digital , Dimensões: Cerca 90 X 50 CM, Material: Chapa De Aço",Unidade,31.499.939/0001-76 - M.K.R. COMERCIO DE EQUIPAMENTOS LTDA,B530,"1.010,0000",1
90011,2024,158127,30/04/2025,30/04/2026,12,446942 - Balança eletrônica,"Balança Eletrônica Capacidade Pesagem: 60 KG, Voltagem: Bateria Interna Recarregável, Adaptador 12 Vac-220 V, Características Adicionais: De Bancada E Divisões De 10 Gramas , Tipo: Coluna Articulada , Número Dígitos: 6 , Tipo Painel: Display Lcd, Teclado Membrana Selada , Sensibilidade: Classe De Exatidão Iii , Freqüência: 50/60 HZ, Material: Aço Carbono",Unidade,31.499.939/0001-76 - M.K.R. COMERCIO DE EQUIPAMENTOS LTDA,B180,"890,0000",1
90011,2024,158127,30/04/2025,30/04/2026,15,376831 - Decibelímetro,"Decibelímetro Resolução Som: 50 DB, Faixa Medição: 32 A 130 DB, Tipo Visor: Lcd 4 Dígitos , Tipo Microfone: Eletrodo 1/2 Polegada , Tipo Alimentação: Bateria Recarregável , Precisão: +/- 1,50 DB, Normas Técnicas: Iec651, Tipo Ii , Características Adicionais: Carregador Bivolt, Calibrador Compatível",Unidade,46.983.819/0001-17 - FAZ VENDAS LTDA,KR833,"682,5000",2
90011,2024,158127,30/04/2025,30/04/2026,20,460099 - Equipamentos diversos para serviços profissionais,"Equipamentos Diversos Para Serviços Profissionais Tipo 1: Piranômetro , Uso: Medir Radiação Solar Em Superfície Plana",Unidade,46.983.819/0001-17 - FAZ VENDAS LTDA,MES-100,"915,0000",1
90011,2024,158127,30/04/2025,30/04/2026,21,324253 - Medidor índice acidez,"Medidor Índice Acidez Material Corpo: Plástico Abs , Tipo: Portátil , Formato: Retangular , Aplicação: Medição De Ph Em Soluções Químicas , Faixa Medição: 0 A 14 Ph , Precisão: 0,001",Unidade,30.479.645/0001-10 - AMR SOLUCOES LABORATORIAIS LTDA,PH-280,"420,0000",1
90011,2024,158127,30/04/2025,30/04/2026,23,380678 - Medidor umidade,"Medidor Umidade Tensão Alimentação: 110/240 V, Frequência Operação: 50 A 60 HZ, Características Adicionais: Mangueira 2m, Cabo Alimentação, Maleta Transporte , Aplicação: Medição Ponto De Orvalho Em Gases",Unidade,50.310.766/0001-40 - ALFARIK COMERCIO E SERVICOS LTDA,Mini GAC Plus,"6.990,0000",1
90011,2024,158127,30/04/2025,30/04/2026,26,217949 - Micrômetro interno,"Micrômetro Interno Material: Ponta Abaulada Metal Duro , Tratamento Superficial: Cromo Fosco , Capacidade: 6 A 5.000 MM, Leitura: 0,01 MM, Precisão: +/- (2 + L/75) Micro , Passo: Não Aplicável MM, Componentes: Não Aplicável , Características Adicionais: Tubulares, Tipo Haste Fixa , Normas Técnicas: Din 863/1",Unidade,14.968.227/0001-30 - FERGAVI COMERCIAL LTDA,DIGIMESS,"1.733,0800",10
90011,2024,158127,30/04/2025,30/04/2026,27,419564 - Mira uso topográfico,"Mira Uso Topográfico Material: Alumínio , Tipo: Telescópica, Milimetrada, Com 4 Segmentos , Comprimento: 4",Unidade,27.176.482/0001-91 - DOUGLAS CORDEIRO LTDA,mira,"376,0000",10
90011,2024,158127,30/04/2025,30/04/2026,29,240551 - Multímetro,"Multímetro Tensão: Ac/Cd 1000 V, Corrente Dc: 10 A, Corrente Ac: 10 A, Resistência: 50 OHMS, Frequência: 5 KHZ, Características Adicionais: True Rms / Categoria Iii / Precisão Básica De , Capacitância: 5000 Uf , Temperatura: -50°C A 1300°C",Unidade,62.723.838/0001-60 - POLITERM INSTRUMENTOS DE MEDICAO LTDA.,POL-41A+,"250,0000",10
90011,2024,158127,30/04/2025,30/04/2026,31,"382115 - Peças , componentes topografia","Peças / Componentes Topografia Material: Plástico Rígido , Tipo: Nível De Cantoneira , Uso: Balizas E Miras",Unidade,27.176.482/0001-91 - DOUGLAS CORDEIRO LTDA,Kl-32  + tripe,"1.850,0000",8
90011,2024,158127,30/04/2025,30/04/2026,32,455991 - Paquímetro digital,"Paquímetro Digital Material: Pontas Metal Duro , Resolução: 0,01 MM, Precisão: +/- 0,02 MM, Aplicação: Medição Externa/Interna Profundidade E Ressaltos , Capacidade: 200 M",Unidade,14.968.227/0001-30 - FERGAVI COMERCIAL LTDA,ZAAS,"512,4000",40
90011,2024,158127,30/04/2025,30/04/2026,33,301812 - Paquímetro universal,"Paquímetro Universal Material: Aço Inoxidável , Capacidade: 300 Mm - 12"" , Aplicação: Medição Externa/Interna Profundidade E Ressaltos , Características Adicionais: Resolução De 0,02 Mm",Unidade,46.983.819/0001-17 - FAZ VENDAS LTDA,7UY,"293,1300",4
90011,2024,158127,30/04/2025,30/04/2026,40,373874 - Termohigrômetro,"Termohigrômetro Tipo: Digital , Fonte Alimentação: Bateria 9 V , Altura: 270 MM, Comprimento: 68 MM, Espessura: 25 MM, Faixa Temperatura: -20 A 60°C , Faixa Medição Humidade Relativa: 10 A 95 PER, Resolução: 0,10 °C, Características Adicionais: Data Logger, 7000 Pontos, Sensor Capacitivo",Unidade,68.886.605/0001-65 - MARTE EQUIPAMENTOS PARA LABORATORIO LTDA,TERMOHIGROMETRO,"149,0000",1
90011,2024,158127,30/04/2025,30/04/2026,42,477906 - Termômetro,"Termômetro Tipo: Digital , Faixa Medição Temperatura: Interna (-20/+70°C) E Externa (-50/+70°C) °C, Aplicação: Medição De Temperatura Em Ambientes , Material: Plástico , Características Adicionais: Botão Liga/Desliga, Cabo Extensor Com Mínimo 2m , Alimentação: Pilha",Unidade,19.031.878/0001-12 - AUTOMX SOLUCOES LTDA,EXBOM,"39,9800",1
90011,2024,158127,30/04/2025,30/04/2026,45,308740 - Cronômetro,"Cronômetro Tipo Mostrador: Digital , Características Adicionais: Funcões Início, Parada E Reset, Memória, Relógio E , Tipo Display: Lcd Triplo Com 22 Dígitos , Tamanho Números: 5,5 X 3,5 MM, Peso: 110 G, Dimensões: 80 X 57 X 18 MM, Mostrador: 9 H, 59 Min E 59,99 S, Subdivisão: 1/100 S, 1/1.000 Min E 1/100.000",Unidade,29.646.786/0001-09 - MAIS ENERGIA COMPONENTES ELETRICOS LTDA,ras41,"89,0000",2
