numCompra,anoCompra,uasg,iniVigencia,fimVigencia,numItem,descBreve,descDetalhada,unFornecimento,fornecedor,marca,valor,qtdUnidade
90043,2025,158127,31/10/2025,31/10/2026,10,447100 - Batedeira industrial,"Batedeira Industrial Material Corpo: Ferro, Tipo Rolamento: Blindado, Capacidade: 12L, Potência Motor: 1/2CV, Quantidade Velocidade: 3, Características Adicionais: Tacho Aço Inoxidável Escovado, Tensão Alimentação: 220V, Acessórios: 3 Batedores Tipo Gancho, Leque E Arame",Unidade,51.659.136/0001-49 - SOUL DISTRIBUIDORA DE PRODUTOS E EQUIPAMENTOS INDUSTRIAIS LTDA,MANÁ,"3.011,0000",1
90043,2025,158127,31/10/2025,31/10/2026,11,483886 - Bebedouro água,"Bebedouro Água Tipo: Pressão Conjugado, Características Adicionais: 1 Torneira E 2 Jatos Para Água Gelada, Voltagem: 220V, Material Gabinete: Aço Inox Escovado, Capacidade Água: 100L, Material Corpo: Aço Inoxidável",Unidade,53.117.090/0001-61 - R. L. & L. CONEXOES COMERCIAIS LTDA,pdf100,"1.796,9000",4
90043,2025,158127,31/10/2025,31/10/2026,13,452767 - Bebedouro água,"Bebedouro Água Tipo: Industrial, Características Adicionais: 3 Torneiras Latão Cromado, Material Gabinete: Aço Inoxidável, Capacidade Água: 100L",Unidade,61.852.834/0001-10 - H2O COMERCIO E REPRESENTACAO DE BEBEDOUROS LTDA,MR 100,"2.000,0000",6
90043,2025,158127,31/10/2025,31/10/2026,15,452767 - Bebedouro água,"Bebedouro Água Tipo: Industrial, Características Adicionais: 3 Torneiras Latão Cromado, Material Gabinete: Aço Inoxidável, Capacidade Água: 100L",Unidade,16.797.497/0001-50 - FONTE D'AGUA INDUSTRIA E COMERCIO LTDA,S50,"1.500,0000",4
90043,2025,158127,31/10/2025,31/10/2026,24,434047 - Carrinho transporte,"Carrinho Transporte Material: Aço Inoxidável, Altura: 80CM, Largura: 40CM, Comprimento: 90CM, Quantidade Rodas: 4 Giratórias, Tipo: 3 Bandejas, Características Adicionais: Alça De Apoio, Aplicação: Transporte De Alimentos",Unidade,57.750.244/0001-09 - 57.750.244 KEHLER HENRIQUE DE SOUSA DA CUNHA,CARRO 3 PLANOS AÇO I,"1.200,0000",2
90043,2025,158127,31/10/2025,31/10/2026,36,255374 - Fogão industrial,"Fogão Industrial Material: Aço Inoxidável, Funcionamento: Gás, Tipo Acendimento: Automático, Comprimento: 1.770MM, Largura: 1.178MM, Altura: 850MM, Tipo Uso: Cozinhar E Assar Alimentos, Características Adicionais: Com Forno/Grelhas 40 X 40cm / Queimadores Duplos, Quantidade Bocas: 8UN, Aplicação: Restaurante",Unidade,50.533.416/0001-43 - SANTOS COMERCIO E NEGOCIOS LTDA,8 Bocas com Forno,"4.450,0000",1
90043,2025,158127,31/10/2025,31/10/2026,38,290951 - Forno industrial,"Forno Industrial Tipo: A Gás, Material: Chapa Aço Inoxidável, Características Adicionais: Com Placas Refratárias, Visor Em Vidro, Termômetro, Comprimento: 1130MM, Largura: 1.080MM, Altura: 1.970MM, Tipo Câmera: Dupla, Aplicação: Cozinha",Unidade,48.189.254/0001-26 - COMERCIAL NEW SPIDER LTDA,FIRIDI110/DS110,"4.984,0000",1
90043,2025,158127,31/10/2025,31/10/2026,41,607100 - Furadeira De Bancada Industrial,"Furadeira De Bancada Industrial Tipo: De Bancada, Tensão Alimentação: 220V, Potência: 370W, Motor: 1/2CV, Tamanho Do Mandril: 5/8POL, Caracteristicas Adicionais: Correia Do Acoplamento Do Motor Com O Eixo Arvore",Unidade,42.152.392/0001-54 - C.K. COMERCIO DE FERRAGENS LTDA,FSB16 TORK,"2.891,0000",1
90043,2025,158127,31/10/2025,31/10/2026,46,449465 - Liquidificador industrial,"Liquidificador Industrial Material Copo: Aço Inoxidável, Material Base: Aço Inox, Capacidade: 10L, Potência Motor: 0,50CV, Tensão Nominal: 220V, Aplicação: Industrial",Unidade,03.606.082/0001-00 - METALURGICA VITHORY LTDA,TR010,"625,0000",2
90043,2025,158127,31/10/2025,31/10/2026,48,451185 - Liquidificador industrial,"Liquidificador Industrial Material Copo: Aço Inoxidável, Material Base: Aço Inox, Capacidade: 15L, Potência Motor: 1,2CV, Tensão Nominal: 220V, Aplicação: Industrial",Unidade,48.277.417/0001-22 - LICITASP DISTRIBUIDOR DE EQUIPAMENTOS SOCIEDADE UNIPESSOAL LTDA,15LBR,"1.365,0000",2
