numCompra,anoCompra,uasg,iniVigencia,fimVigencia,numItem,descBreve,descDetalhada,unFornecimento,fornecedor,marca,valor,qtdUnidade
90009,2024,158127,27/09/2024,27/09/2025,4,483886 - Bebedouro água,"Bebedouro Água Tipo: Pressão Conjugado , Características Adicionais: 1 Torneira E 2 Jatos Para Água Gelada , Voltagem: 220 V, Material Gabinete: Aço Inox Escovado , Capacidade Água: 100 L, Material Corpo: Aço Inoxidável",Unidade,46.264.947/0001-00 - MAGAZINE PODEROSO COMERCIO E SOLUCOES LTDA,PDF 300,"2.618,0000",4
90009,2024,158127,27/09/2024,27/09/2025,5,307496 - Bebedouro água,"Bebedouro Água Tipo: Industrial , Características Adicionais: 4 Torneiras Latão Cromado , Voltagem: 220 V, Capacidade Água: 100 L, Material Corpo: Aço Inoxidável",Unidade,52.804.328/0001-64 - MCS COMERCIO DE MAQUINAS E SERVICOS LTDA,ABG 100 i,"1.874,0000",8
90009,2024,158127,27/09/2024,27/09/2025,6,311387 - Bebedouro água,"Bebedouro Água Tipo: Industrial , Características Adicionais: 4 Torneiras Latão Cromado, Serpentina Cobre Locali , Voltagem: 110/220 V, Material Gabinete: Aço Inoxidável , Material Reservatório Água: Aço Inoxidável , Capacidade Água: 200",Unidade,50.456.480/0001-78 - IBBA INDUSTRIA E COMERCIO DE BEBEDOURO LTDA,MR 200,"2.250,0000",6
90009,2024,158127,27/09/2024,27/09/2025,7,452767 - Bebedouro água,"Bebedouro Água Tipo: Industrial , Características Adicionais: 3 Torneiras Latão Cromado , Material Gabinete: Aço Inoxidável , Capacidade Água: 100",Unidade,50.456.480/0001-78 - IBBA INDUSTRIA E COMERCIO DE BEBEDOURO LTDA,MR 50,"1.700,0000",8
90009,2024,158127,27/09/2024,27/09/2025,17,354501 - Furadeira,"Tipo: Impacto, Potência: 700 W, Tamanho Mandril: 1/2 POL, Tensão Alimentação: 115/127 V, Características Adicionais: Punho Ergonômico, Redução Mecânica De Velocidade, Velocidade: 1.000 A 3.000 RPM, Capacidade Perfuração Concreto: 20/13 MM, Capacidade Perfuração Aço: 13/08 MM, Capacidade Perfuração Madeira: 40/25 MM,",Unidade,44.258.379/0001-00 - LANCA PRODUTOS - COMERCIO E SERVICOS LTDA,750W,"287,0000",2
90009,2024,158127,27/09/2024,27/09/2025,19,432053 - Furadeira,"Tipo: Impacto, Potência: 800 W, Tamanho Mandril: 1/2 POL, Características Adicionais: Com Velocidade Variável,",Unidade,53.640.283/0001-00 - HIPER COMERCIO & SERVICOS LTDA,DKID13G80,"319,9800",2
90009,2024,158127,27/09/2024,27/09/2025,29,220155 - Martelete,"Tipo: Perfurador, Capacidade Perfuração Aço: 13 MM, Capacidade Perfuração Madeira: 30 MM, Capacidade Perfuração Concreto: 24 MM, Potência: 620 WATT, Capacidade Impactos: 0 A 4.850 IPM, Rotação: 0 A 870 RPM, Peso: 2,40 KG, Capacidade Aspiração: Não Aplicável L, Tensão Alimentação: 115 V,",Unidade,53.640.283/0001-00 - HIPER COMERCIO & SERVICOS LTDA,EFM01PRO,"589,9800",2
90009,2024,158127,27/09/2024,27/09/2025,30,485544 - Podador,"Sistema Corte: Corrente, Tipo Motor: À Combustão, Potência Motor: 1,3 Cv, Cilindrada Motor: 25 Cc, Tipo Combustível: Gasolina, Aplicação: Corte De Galhos, Características Adicionais: Haste Extensivel Para 5 Metros,",Unidade,55.186.644/0001-08 - 55.186.644 ZELIA DE FATIMA MATEUS DA SILVA,Menegotti/ Vulcan,"1.097,0000",2
90009,2024,158127,27/09/2024,27/09/2025,40,449873 - Roçadeira manual,"Tipo Motor: Gasolina, Potência Motor: 1,7 KW, Tipo Cortador: Fio Náilon E/Ou Lâmina Aço, Rotação: 12.300 RPM, Peso Aproximado: 7,30 KG, Características Adicionais: Lateral, Aplicação: Corte Grama, Capim, Pasto, Arbusto, Capoeiras E Pe, Tipo: Costal,",Unidade,20.502.109/0001-34 - SANRE COMERCIO E IMPORTACAO LTDA,modelo lateral nwb52,"735,0000",4
90009,2024,158127,27/09/2024,27/09/2025,41,239229 - Roçadeira manual,"Tipo Motor: Gasolina, Potência Motor: 3,12 Cv/3,07 HP, Tipo Cortador: Lâmina Aço, Rotação: 12.500 RPM, Peso Aproximado: 7,70 KG, Características Adicionais: Motor 35,2 Cc/Tanque Capacidade 0,58l,",Unidade,53.288.672/0001-00 - MAXYTEM LTDA,ST35X,"2.490,0000",1
90009,2024,158127,27/09/2024,27/09/2025,42,344166 - Roçadeira manual,"Tipo Motor: Gasolina, Potência Motor: 2,3 HP, Tipo Cortador: Lâmina 3 Pontas, Rotação: 12.500 RPM, Características Adicionais: Motor 2 Tempos/ Tanque Combustível (Aprox.) 0,58 L, Aplicação: Corte Grama, Capim, Pasto, Arbusto, Capoeiras E Pe,",Unidade,53.640.283/0001-00 - HIPER COMERCIO & SERVICOS LTDA,ST-630,"719,9800",1
90009,2024,158127,27/09/2024,27/09/2025,46,378061 - Soprador,"Tipo: Térmico Portátil, Acionamento: Elétrico, Voltagem: 110/220 V, Potência: 2.000 W, Volume Ar: 150 A 500 L/MIN, Aplicação: Solda, Características Adicionais: Tipo Pistola, Display Digital,",Unidade,46.344.050/0001-97 - SUL AGUA EQUIPAMENTOS LTDA,vonder vonder,"205,5000",6
90009,2024,158127,27/09/2024,27/09/2025,47,483878 - Tesoura poda,"Material Lâmina: Aço Inoxidável, Material Cabo: Plástico, Características Adicionais: Com Mola, Comprimento: Cerca 20 CM, Comprimento Lâmina: Cerca 6,5 CM,",Unidade,97.541.831/0001-02 - GESSICA ZARZEKA OLIVO - GRM MAQUINAS E LOCACOES,DEWALT,"2.199,9900",1
